emotion,video_id,author,comment,label,confidence,labeled,comment_nonsw,predicted_label
vui vẻ,_pMLRYGx9Is,@ottux2707,ai đó rì viu dhhp cho em vớiii,,0.23039215686274508,,rì viu dhhp vớiii,1.0
vui vẻ,_pMLRYGx9Is,@minhchau3090,tính cả mình thì khóa mình có 5 người trong bộ tài chính,,0.23744914939518855,,khóa 5 tài,1.0
vui vẻ,_pMLRYGx9Is,@yennhile8168,ê em là 2k8 lo xa đag tìm trường đhoc e xem video a em bcuoi v,,0.28580371459409715,,ê 2k8 lo đag trường đhoc e video a bcuoi v,0.0
vui vẻ,_pMLRYGx9Is,@tuantruong2080,anh làm p2 cho 2k7 đc ko,,0.26298896964349017,,p2 2k7 đc ko,0.0
vui vẻ,_pMLRYGx9Is,@johnnyphim5572,ftu giỏi lắm đó,,0.31047643436107253,,ftu giỏi lắm,1.0
vui vẻ,_pMLRYGx9Is,@TCon-kt9hb,ơ kìa học viện hoàng gia đâu rồi anh vui vẻ thứ nhất trường có rất nhiều cây kiểu nông nghiệp thứ hai trường đại học lớn nhất việt nam về mặt diện tích kiểu nông nghiệp toàn đất thứ ba đồng phục trường màu vàng chóe thêm tý màu xanh và nâu kiểu nông nghiệp phải có đất với cây thứ tư trường to quá nên bị tách lẻ sang vương quốc bên kia cầu của hà nội nên khá xa chỗ ae đại học còn lại,,0.29916363247507227,,kìa học viện hoàng gia vui vẻ trường kiểu nông nghiệp hai trường đại học việt nam mặt diện tích kiểu nông nghiệp toàn đất đồng phục trường màu vàng chóe tý màu xanh nâu kiểu nông nghiệp đất tư trường to tách lẻ vương quốc kia cầu hà nội chỗ ae đại học,0.0
vui vẻ,_pMLRYGx9Is,@manhha9227,ông này lấy ảnh đại học hùng vương ở phú thọ nói đh hùng vương tp hồ chí minh,,0.23893159532255737,,ảnh đại học hùng vương phú thọ đh hùng vương tp hồ chí minh,1.0
vui vẻ,_pMLRYGx9Is,@C--NgoGiaHan,hong có trường văn hoá hả,,0.2567971920836514,,hong trường văn hoá hả,0.0
vui vẻ,_pMLRYGx9Is,@PhamTheAnh.,4 20 thật ra là to nhất đông nam á,4.0,1.0,True,4 20 to đông nam,1.0
vui vẻ,_pMLRYGx9Is,@ThuanNguyen-hx6pm,t vẫn cay môn đồ họa kĩ thuật má shibaaaaa,3.0,1.0,True,t cay môn đồ họa kĩ thuật má shibaaaaa,5.0
vui vẻ,_pMLRYGx9Is,@datha3191,ô ô a k có ns dh kiến trúc à,6.0,1.0,True,ô ô a k ns dh kiến trúc,1.0
vui vẻ,_pMLRYGx9Is,@ĐăngMinhNgô-t9s,ai cho em xin ý kiến về đại học luật với ạ,,0.2591941499915596,,kiến đại học luật,1.0
vui vẻ,_pMLRYGx9Is,@HungPham-wh6ic,em 2k7 em muốn đăng kí vào đại học giao thông vận tải ngành logistics anh chị có lời khuyên j ko ạ,,0.29094187922640324,,2k7 đăng kí đại học giao thông vận tải ngành logistics khuyên j ko,0.0
vui vẻ,_pMLRYGx9Is,@ngotrongnghia3037,tôi đánh giá trường có phương pháp giảng dạy hiệu quả chất lượng chương trình đào tạo đáp ứng linh hoạt nhu cầu nhân lực thị trường lao động,,0.2579622209748443,,đánh giá trường phương pháp giảng dạy hiệu chất chương trình đào đáp ứng linh hoạt nhu cầu nhân lực thị trường lao động,0.0
vui vẻ,_pMLRYGx9Is,@Quacquacquac-1s,đề nghị anh ra p2 ạ 207 need u,,0.21173678371823257,,đề nghị p2 207 need u,1.0
vui vẻ,_pMLRYGx9Is,@phanhhphanhh6948,chờ tới hupes đại học sư phạm tdtt hà nội chắc cũng tới tết,,0.2640862412232345,,chờ hupes đại học sư phạm tdtt hà nội tết,0.0
vui vẻ,_pMLRYGx9Is,@TuấnKiệtNguyễn-t5z,nguyên khối đh quốc gia hcm rv đc 2 trg,,0.21553840025713997,,nguyên khối đh quốc gia hcm rv đc 2 trg,1.0
vui vẻ,_pMLRYGx9Is,@meowwmin7494,6 55 nhằm logo đh hùng vương tphcm với ảnh đh hùng vương phú học rồi ad ơi,,0.26085399508339246,,6 55 logo đh hùng vương tphcm ảnh đh hùng vương phú học ad,1.0
vui vẻ,_pMLRYGx9Is,@lochoang7644,sao không nói tới mit nhỉ,,0.23039215686274508,,mit,1.0
vui vẻ,_pMLRYGx9Is,@nguyenhoanganh5068,video như l làm video mà k biết tí thông tin nào toàn lướt lướt,,0.27101494309211793,,video l video k tí thông toàn lướt lướt,1.0
vui vẻ,_pMLRYGx9Is,@NamNguyen-ub5rh,anh review trường bvu đi ạ,,0.34910415866050437,,review trường bvu đi,0.0
vui vẻ,_pMLRYGx9Is,@M.Dú209,sao kh có văn lang anh ơi trường bao ngon mọng nước,,0.26345257477737233,,kh văn lang trường bao ngon mọng,1.0
vui vẻ,_pMLRYGx9Is,@xuanbaøø25,2k9 đi tìm hiểu trước,,0.2840184976211138,,2k9 đi,1.0
vui vẻ,_pMLRYGx9Is,@mirukiumino9999,ddn dnu,,0.23039215686274508,,ddn dnu,1.0
vui vẻ,_pMLRYGx9Is,@MinhNguyen-by8ec,có ai thấy quảng cáo bán tk nefilx không,6.0,1.0,True,quảng cáo tk nefilx,5.0
vui vẻ,_pMLRYGx9Is,@jaydang590,đố a review được vnu hơn chục trường khoa ở đây e kéo cả họ vào follow ạ 33 em cảm ơn ạ,,0.4941331408213425,,đố a review vnu chục trường khoa e kéo follow 33 cảm ơn,1.0
vui vẻ,_pMLRYGx9Is,@KhánhTrần-w6p,anh làm về trường sĩ quan lục quân đi,0.0,1.0,True,trường sĩ quan lục quân đi,1.0
vui vẻ,_pMLRYGx9Is,@Kim-0908,học viện kĩ thuật mật mã thì sao,,0.23446466184784412,,học viện kĩ thuật mật mã,0.0
vui vẻ,_pMLRYGx9Is,@PhuongNguyen-vj1xz,thiếu lô đại học nông nghiệp 1 2 3 4 ta trường lâu đời mà,0.0,1.0,True,lô đại học nông nghiệp 1 2 3 4 ta trường đời,0.0
vui vẻ,_pMLRYGx9Is,@xuanmoonxinh,thiếu sư phạm kỹ thuật nhé,0.0,1.0,True,sư phạm kỹ thuật,1.0
vui vẻ,_pMLRYGx9Is,@hanguyenmanh2459,bưu chính viễn thông điện lực kiến trúc mỹ thuật nông nghiệp công nghiệp nông lâm giao thông vận tải trường tôi học k52 toàn trường chuyên ngành xương sống bề dày truyền thống thì bị thiếu mất mình xem tiêu đề thấy 11p thì cũng ngầm hiểu là không thể nêu đủ rồi nhưng thấy nêu nhiều trường ít tên tuổi mà không có mấy trường nổi tiếng nên hơi tiếc,,0.31676965202193014,,bưu viễn thông điện lực kiến trúc mỹ thuật nông nghiệp công nghiệp nông lâm giao thông vận tải trường học k52 toàn trường chuyên ngành xương sống bề dày truyền thống tiêu đề 11p ngầm thể nêu nêu trường mấy trường nổi tiếng hơi tiếc,0.0
vui vẻ,_pMLRYGx9Is,@fevrier2802,pdu đâu,,0.23039215686274508,,pdu,1.0
vui vẻ,_pMLRYGx9Is,@34hoaphuongthuy40,đợi mãi không thấy review đhqg hcm nên mình sẽ review 1 trường mình đang học là uel nói chung câu cửa miệng của sv uel là mãi yêu uel tại trường cũng đáng yêu thật không có gì để chê lắm và mạnh về các câu lạc bộ và cuộc thi trong thành phố vùng,,0.38364610832228846,,đợi mãi review đhqg hcm review 1 trường học uel câu cửa miệng sv uel mãi yêu uel trường yêu chê lắm câu lạc thi thành phố,1.0
vui vẻ,_pMLRYGx9Is,@aoi8285,ptit ngay hà đông mà idol ko kể đến buồn,,0.21847980886930754,,ptit hà đông idol ko buồn,0.0
vui vẻ,_pMLRYGx9Is,@NXMKhoi,hvqs ở khúc nào v,,0.23039215686274508,,hvqs khúc v,1.0
vui vẻ,_pMLRYGx9Is,@Adolthered098,ftu đại hoc fpt dh sài gòn vs hutech chắc nằm dưới đáy xh nên chắc ko xuất hiện trong này,,0.2843416638997202,,ftu đại hoc fpt dh sài gòn vs hutech nằm đáy xh ko xuất hiện,0.0
vui vẻ,_pMLRYGx9Is,@zhuongzhuong10,đh phương đông thì s,,0.22737032449901579,,đh phương đông s,0.0
vui vẻ,_pMLRYGx9Is,@luongtran6169,k có trg mỹ thuật à b,,0.27672229021869665,,k trg mỹ thuật b,0.0
vui vẻ,_pMLRYGx9Is,@DarkBlueCommand,bro view cái máy tính bảng model giống của tui mới mua ghê á tiên tri à,,0.2709154981967275,,bro view máy bảng model tui mua ghê tiên tri,1.0
vui vẻ,_pMLRYGx9Is,@KhánhĐinhGia-c3h,logo bách khoa hà nội nhưng lại hcmut,,0.24013316711018398,,logo bách khoa hà nội hcmut,1.0
vui vẻ,_pMLRYGx9Is,@thienan7545,chị em là thủ khoa trần nguyên hãn rồi chị em vào trường học viện báo chí tuyên truyền,,0.2851236672513923,,thủ khoa trần nguyên hãn trường học viện báo chí tuyên truyền,0.0
vui vẻ,_pMLRYGx9Is,@AnhNguyen-mn3go,aof lốp xe chất lượng nhất cho những ai aim neu ngành hot,,0.26296580362610417,,aof lốp xe chất aim neu ngành hot,1.0
vui vẻ,_pMLRYGx9Is,@MinhMinh-fh9lg,làm vid như c mà cũng up tiêu đề với video chả liên quan,,0.2825825545876737,,vid c up tiêu đề video chả liên quan,1.0
vui vẻ,_pMLRYGx9Is,@MinhMinh-fh9lg,ad xoá vid này đi ad ơi mang tiếng sinh viên ftu mà làm video gây tranh cãi thế hau ptit hanu thì ông vứt đi đâu trong video thế làm content nhớ suy nghĩ kỹ vào,,0.29047912679804067,,ad xoá vid đi ad tiếng sinh viên ftu video tranh cãi hau ptit hanu vứt đi video content suy kỹ,1.0
vui vẻ,_pMLRYGx9Is,@trungdonge21,mình xem hơi trễ nhưng nghĩ nên thêm trường đại học trần quốc tuấn khét nhất đông nam á khi phải đi học bằng cả tính mạng,,0.35209277756553214,,hơi trễ trường đại học trần quốc tuấn khét đông nam đi học mạng,0.0
vui vẻ,_pMLRYGx9Is,@PhúcNhânLêQuỳnh,cho hỏi đại học ueh là cái nào v mng,,0.2998253506436796,,đại học ueh v mng,1.0
vui vẻ,_pMLRYGx9Is,@FcUyy,đừng vào huce,,0.23039215686274508,,đừng huce,1.0
vui vẻ,_pMLRYGx9Is,@ngodangquangngodang83,đại học luật hn 10 điểm không có nhưng,,0.3193761062049713,,đại học luật hn 10,1.0
vui vẻ,_pMLRYGx9Is,@huynguyen-up6wd,epu đâu a,,0.23039215686274508,,epu a,1.0
