emotion,video_id,author,comment
vui vẻ,_pMLRYGx9Is,@ottux2707,ai đó rì viu dhhp cho em vớiii
vui vẻ,_pMLRYGx9Is,@minhchau3090,tính cả mình thì khóa mình có 5 người trong bộ tài chính
vui vẻ,_pMLRYGx9Is,@yennhile8168,ê em là 2k8 lo xa đag tìm trường đhoc e xem video a em bcuoi v
vui vẻ,_pMLRYGx9Is,@tuantruong2080,anh làm p2 cho 2k7 đc ko
vui vẻ,_pMLRYGx9Is,@johnnyphim5572,ftu giỏi lắm đó
vui vẻ,_pMLRYGx9Is,@TCon-kt9hb,ơ kìa học viện hoàng gia đâu rồi anh vui vẻ thứ nhất trường có rất nhiều cây kiểu nông nghiệp thứ hai trường đại học lớn nhất việt nam về mặt diện tích kiểu nông nghiệp toàn đất thứ ba đồng phục trường màu vàng chóe thêm tý màu xanh và nâu kiểu nông nghiệp phải có đất với cây thứ tư trường to quá nên bị tách lẻ sang vương quốc bên kia cầu của hà nội nên khá xa chỗ ae đại học còn lại
vui vẻ,_pMLRYGx9Is,@manhha9227,ông này lấy ảnh đại học hùng vương ở phú thọ nói đh hùng vương tp hồ chí minh
vui vẻ,_pMLRYGx9Is,@C--NgoGiaHan,hong có trường văn hoá hả
vui vẻ,_pMLRYGx9Is,@PhamTheAnh.,4 20 thật ra là to nhất đông nam á
vui vẻ,_pMLRYGx9Is,@ThuanNguyen-hx6pm,t vẫn cay môn đồ họa kĩ thuật má shibaaaaa
vui vẻ,_pMLRYGx9Is,@datha3191,ô ô a k có ns dh kiến trúc à
vui vẻ,_pMLRYGx9Is,@ĐăngMinhNgô-t9s,ai cho em xin ý kiến về đại học luật với ạ
vui vẻ,_pMLRYGx9Is,@HungPham-wh6ic,em 2k7 em muốn đăng kí vào đại học giao thông vận tải ngành logistics anh chị có lời khuyên j ko ạ
vui vẻ,_pMLRYGx9Is,@ngotrongnghia3037,tôi đánh giá trường có phương pháp giảng dạy hiệu quả chất lượng chương trình đào tạo đáp ứng linh hoạt nhu cầu nhân lực thị trường lao động
vui vẻ,_pMLRYGx9Is,@Quacquacquac-1s,đề nghị anh ra p2 ạ 207 need u
vui vẻ,_pMLRYGx9Is,@phanhhphanhh6948,chờ tới hupes đại học sư phạm tdtt hà nội chắc cũng tới tết
vui vẻ,_pMLRYGx9Is,@TuấnKiệtNguyễn-t5z,nguyên khối đh quốc gia hcm rv đc 2 trg
vui vẻ,_pMLRYGx9Is,@meowwmin7494,6 55 nhằm logo đh hùng vương tphcm với ảnh đh hùng vương phú học rồi ad ơi
vui vẻ,_pMLRYGx9Is,@lochoang7644,sao không nói tới mit nhỉ
vui vẻ,_pMLRYGx9Is,@nguyenhoanganh5068,video như l làm video mà k biết tí thông tin nào toàn lướt lướt
vui vẻ,_pMLRYGx9Is,@NamNguyen-ub5rh,anh review trường bvu đi ạ
vui vẻ,_pMLRYGx9Is,@M.Dú209,sao kh có văn lang anh ơi trường bao ngon mọng nước
vui vẻ,_pMLRYGx9Is,@xuanbaøø25,2k9 đi tìm hiểu trước
vui vẻ,_pMLRYGx9Is,@mirukiumino9999,ddn dnu
vui vẻ,_pMLRYGx9Is,@MinhNguyen-by8ec,có ai thấy quảng cáo bán tk nefilx không
vui vẻ,_pMLRYGx9Is,@jaydang590,đố a review được vnu hơn chục trường khoa ở đây e kéo cả họ vào follow ạ 33 em cảm ơn ạ
vui vẻ,_pMLRYGx9Is,@KhánhTrần-w6p,anh làm về trường sĩ quan lục quân đi
vui vẻ,_pMLRYGx9Is,@Kim-0908,học viện kĩ thuật mật mã thì sao
vui vẻ,_pMLRYGx9Is,@PhuongNguyen-vj1xz,thiếu lô đại học nông nghiệp 1 2 3 4 ta trường lâu đời mà
vui vẻ,_pMLRYGx9Is,@xuanmoonxinh,thiếu sư phạm kỹ thuật nhé
vui vẻ,_pMLRYGx9Is,@hanguyenmanh2459,bưu chính viễn thông điện lực kiến trúc mỹ thuật nông nghiệp công nghiệp nông lâm giao thông vận tải trường tôi học k52 toàn trường chuyên ngành xương sống bề dày truyền thống thì bị thiếu mất mình xem tiêu đề thấy 11p thì cũng ngầm hiểu là không thể nêu đủ rồi nhưng thấy nêu nhiều trường ít tên tuổi mà không có mấy trường nổi tiếng nên hơi tiếc
vui vẻ,_pMLRYGx9Is,@fevrier2802,pdu đâu
vui vẻ,_pMLRYGx9Is,@34hoaphuongthuy40,đợi mãi không thấy review đhqg hcm nên mình sẽ review 1 trường mình đang học là uel nói chung câu cửa miệng của sv uel là mãi yêu uel tại trường cũng đáng yêu thật không có gì để chê lắm và mạnh về các câu lạc bộ và cuộc thi trong thành phố vùng
vui vẻ,_pMLRYGx9Is,@aoi8285,ptit ngay hà đông mà idol ko kể đến buồn
vui vẻ,_pMLRYGx9Is,@NXMKhoi,hvqs ở khúc nào v
vui vẻ,_pMLRYGx9Is,@Adolthered098,ftu đại hoc fpt dh sài gòn vs hutech chắc nằm dưới đáy xh nên chắc ko xuất hiện trong này
vui vẻ,_pMLRYGx9Is,@zhuongzhuong10,đh phương đông thì s
vui vẻ,_pMLRYGx9Is,@luongtran6169,k có trg mỹ thuật à b
vui vẻ,_pMLRYGx9Is,@DarkBlueCommand,bro view cái máy tính bảng model giống của tui mới mua ghê á tiên tri à
vui vẻ,_pMLRYGx9Is,@KhánhĐinhGia-c3h,logo bách khoa hà nội nhưng lại hcmut
vui vẻ,_pMLRYGx9Is,@thienan7545,chị em là thủ khoa trần nguyên hãn rồi chị em vào trường học viện báo chí tuyên truyền
vui vẻ,_pMLRYGx9Is,@AnhNguyen-mn3go,aof lốp xe chất lượng nhất cho những ai aim neu ngành hot
vui vẻ,_pMLRYGx9Is,@MinhMinh-fh9lg,làm vid như c mà cũng up tiêu đề với video chả liên quan
vui vẻ,_pMLRYGx9Is,@MinhMinh-fh9lg,ad xoá vid này đi ad ơi mang tiếng sinh viên ftu mà làm video gây tranh cãi thế hau ptit hanu thì ông vứt đi đâu trong video thế làm content nhớ suy nghĩ kỹ vào
vui vẻ,_pMLRYGx9Is,@trungdonge21,mình xem hơi trễ nhưng nghĩ nên thêm trường đại học trần quốc tuấn khét nhất đông nam á khi phải đi học bằng cả tính mạng
vui vẻ,_pMLRYGx9Is,@PhúcNhânLêQuỳnh,cho hỏi đại học ueh là cái nào v mng
vui vẻ,_pMLRYGx9Is,@FcUyy,đừng vào huce
vui vẻ,_pMLRYGx9Is,@ngodangquangngodang83,đại học luật hn 10 điểm không có nhưng
vui vẻ,_pMLRYGx9Is,@huynguyen-up6wd,epu đâu a
vui vẻ,_pMLRYGx9Is,@ThangNguyen-dm1jm,lên xem từ miền bắc r sang miền nam r lại qua miền trung r lại nhảy sang miền bắc hóng đầu vd đến cuối vd ko thấy trường mình đâu đại học văn hóa hà nội hucccccccccccccc
vui vẻ,_pMLRYGx9Is,@taile758,ủa giao thông đâu ad
vui vẻ,_pMLRYGx9Is,@violetwisteria5935,thấy nhắc đến vinuni nhma ko thấy nhắc đến hàng xóm vnua trường mình ngay cạnh thì tui cũng review luôn là trường rộng quả đồng phục nổi vl khoảng cách giữa các giảng đường xa nhưng được cái nhiều cây nên mát
vui vẻ,_pMLRYGx9Is,@DinhdeXiu,logo bk để hcmut
vui vẻ,_pMLRYGx9Is,@banhgaoxgai,lạy ông này nch bcuoi chết
vui vẻ,_pMLRYGx9Is,@khoannguyenthi2339,cứ như nhau ấy
vui vẻ,_pMLRYGx9Is,@ouccong101,trường đại học công nghiệp hà nội haui của tui đâu rồiiiiiiiiiii
vui vẻ,_pMLRYGx9Is,@GekkouH,tôi yêu đh kiến trúc
vui vẻ,_pMLRYGx9Is,@HungPham-py9wi,anh review về xứ sở mèn mén tp sơn la đi anh
vui vẻ,_pMLRYGx9Is,@NguyenQuang-y9j,tóm tắt đầy đủ tiêu chí dí dỏm nhưng thiếu phần quan trọng đó là phần học phí
vui vẻ,_pMLRYGx9Is,@quac6831,thiếu đại học mở rồi 1 dislike
vui vẻ,_pMLRYGx9Is,@tuatduong5381,đại học công đoàn
vui vẻ,_pMLRYGx9Is,@hoaithuong4845,logo trường nhân văn hà nội sai mẹ rồi
vui vẻ,_pMLRYGx9Is,@annguyen.4869,sân khấu điện ảnh đối diện thương mại mà ko được lên sóng luôn
vui vẻ,_pMLRYGx9Is,@sau4454,hubt sinh viên như qq đa số còn giảng viên thì ngược lại
vui vẻ,_pMLRYGx9Is,@shikaibduog,anh thiếu trường đại học top15 đại học thủ dầu một
vui vẻ,_pMLRYGx9Is,@hn90son,làm các cao đẳng đi bạn
vui vẻ,_pMLRYGx9Is,@DinhNguyenThanhNamKHCM,mấy trường ở miền bắc thì làm rõ ràng rành mạch còn miền nam thì đọc cho qua đúng phân biệt vùng miền
