emotion,video_id,author,comment
vui vẻ,_pMLRYGx9Is,@ottux2707,Ai đó rì viu DHHP cho em vớiii
vui vẻ,_pMLRYGx9Is,@minhchau3090,Tính cả mình thì khóa mình có 5 người trong Bộ Tài chính 😂
vui vẻ,_pMLRYGx9Is,@yennhile8168,Ê em là 2k8 lo xa đag tìm trường đhoc:)) e xem video a em bcuoi v
vui vẻ,_pMLRYGx9Is,@tuantruong2080,anh làm p2 cho 2k7 đc ko
vui vẻ,_pMLRYGx9Is,@johnnyphim5572,FTU giỏi lắm đó
vui vẻ,_pMLRYGx9Is,@TCon-kt9hb,Ơ kìa học viện Hoàng Gia đâu rồi anh Vui vẻ? <br>Thứ nhất: trường có rất nhiều cây kiểu.. Nông Nghiệp <br>Thứ hai: trường đại học lớn nhất Việt Nam về mặt diện tích kiểu... Nông nghiệp toàn đất <br>Thứ ba: đồng phục trường màu vàng chóe thêm tý màu xanh và nâu kiểu... Nông nghiệp phải có đất với cây <br>Thứ tư: trường to quá nên bị tách lẻ sang &quot; Vương quốc bên kia cầu&quot; của Hà Nội nên khá xa chỗ ae đại học còn lại=)))
vui vẻ,_pMLRYGx9Is,@manhha9227,ông này lấy ảnh đại học Hùng Vương ở Phú Thọ nói ĐH Hùng Vương TP.Hồ Chí Minh.
vui vẻ,_pMLRYGx9Is,@C--NgoGiaHan,Hong có Trường Văn Hoá hả
vui vẻ,_pMLRYGx9Is,@PhamTheAnh.,"<a href=""https://www.youtube.com/watch?v=_pMLRYGx9Is&amp;t=260"">4:20</a> thật ra là to nhất đông nam á"
vui vẻ,_pMLRYGx9Is,@ThuanNguyen-hx6pm,"t vẫn cay môn đồ họa kĩ thuật ,má shibaaaaa"
vui vẻ,_pMLRYGx9Is,@datha3191,Ô ô a k có ns dh kiến trúc à😢
vui vẻ,_pMLRYGx9Is,@ĐăngMinhNgô-t9s,Ai cho em xin ý kiến về đại học luật với ạ
vui vẻ,_pMLRYGx9Is,@HungPham-wh6ic,Em 2k7 em muốn đăng kí vào đại học giao thông vận tải ngành logistics anh chị có lời khuyên j ko ạ
vui vẻ,_pMLRYGx9Is,@ngotrongnghia3037,"&quot;Tôi đánh giá trường có phương pháp giảng dạy hiệu quả, chất lượng chương trình đào tạo đáp ứng linh hoạt nhu cầu nhân lực thị trường lao động.&quot; 😂😂😂"
vui vẻ,_pMLRYGx9Is,@Quacquacquac-1s,"Đề nghị anh ra p2 ạ , 207 need u 😔"
vui vẻ,_pMLRYGx9Is,@phanhhphanhh6948,Chờ tới HUPES: Đại học sư phạm TDTT Hà Nội chắc cũng tới tết 😂
vui vẻ,_pMLRYGx9Is,@TuấnKiệtNguyễn-t5z,nguyên khối đh quốc gia hcm rv đc 2 trg :))
vui vẻ,_pMLRYGx9Is,@meowwmin7494,"<a href=""https://www.youtube.com/watch?v=_pMLRYGx9Is&amp;t=415"">6:55</a> nhằm logo đh hùng vương TPHCM với ảnh đh hùng vương phú học rồi ad ơi"
vui vẻ,_pMLRYGx9Is,@lochoang7644,sao không nói tới MIT nhỉ ?
vui vẻ,_pMLRYGx9Is,@nguyenhoanganh5068,video như l :)) làm video mà k biết tí thông tin nào toàn lướt lướt
vui vẻ,_pMLRYGx9Is,@NamNguyen-ub5rh,Anh review trường BVU đi ạ
vui vẻ,_pMLRYGx9Is,@M.Dú209,"Sao kh có Văn Lang anh ơi, trường bao ngon mọng nước ;)"
vui vẻ,_pMLRYGx9Is,@thihuenguyen5214,❤️❤️❤️
vui vẻ,_pMLRYGx9Is,@xuanbaøø25,2k9 đi tìm hiểu trước:))
vui vẻ,_pMLRYGx9Is,@mirukiumino9999,DDN-DNU❤
vui vẻ,_pMLRYGx9Is,@MinhNguyen-by8ec,Có ai thấy quảng cáo bán tk nefilx không
vui vẻ,_pMLRYGx9Is,@jaydang590,"Đố a Review được VNU, hơn chục trường - khoa ở đây. E kéo cả họ vào follow ạ &#39;33 em cảm ơn ạ"
vui vẻ,_pMLRYGx9Is,@KhánhTrần-w6p,Anh làm về trường sĩ quan lục quân đi
vui vẻ,_pMLRYGx9Is,@Kim-0908,học viện kĩ thuật mật mã thì sao
vui vẻ,_pMLRYGx9Is,@PhuongNguyen-vj1xz,Thiếu lô đại học nông nghiệp 1 2 3 4 ta. Trường lâu đời mà
vui vẻ,_pMLRYGx9Is,@xuanmoonxinh,Thiếu Sư Phạm kỹ thuật nhé.
vui vẻ,_pMLRYGx9Is,@hanguyenmanh2459,"Bưu chính viễn thông, điện lực, kiến trúc, mỹ thuật, nông nghiệp, công nghiệp, nông lâm, Giao thông vận tải (trường tôi học-k52)... toàn trường chuyên ngành xương sống, bề dày truyền thống thì bị thiếu mất. Mình xem tiêu đề thấy 11p thì cũng ngầm hiểu là không thể nêu đủ rồi, nhưng thấy nêu nhiều trường ít tên tuổi mà không có mấy trường nổi tiếng, nên hơi tiếc."
vui vẻ,_pMLRYGx9Is,@fevrier2802,pdu đâu?
vui vẻ,_pMLRYGx9Is,@ohaiquy1754,kkk
vui vẻ,_pMLRYGx9Is,@34hoaphuongthuy40,"đợi mãi không thấy review ĐHQG HCM nên mình sẽ review 1 trường mình đang học là UEL nói chung câu cửa miệng của sv UEL là mãi yêu uel tại trường cũng đáng yêu thật không có gì để chê lắm và mạnh về các câu lạc bộ và cuộc thi trong thành phố, vùng"
vui vẻ,_pMLRYGx9Is,@aoi8285,"ptit ngay hà đông mà idol ko kể đến, buồn"
vui vẻ,_pMLRYGx9Is,@NXMKhoi,Hvqs ở khúc nào v
vui vẻ,_pMLRYGx9Is,@Adolthered098,"FTU(đại hoc FPT ) , DH Sài Gòn vs Hutech chắc nằm dưới đáy XH nên chắc ko xuất hiện trong này"
vui vẻ,_pMLRYGx9Is,@zhuongzhuong10,Đh phương đông thì s?
vui vẻ,_pMLRYGx9Is,@luongtran6169,K có trg Mỹ Thuật à b😢
vui vẻ,_pMLRYGx9Is,@DarkBlueCommand,"bro view cái máy tính bảng model giống của tui mới mua ghê á, tiên tri à😂😂😂"
vui vẻ,_pMLRYGx9Is,@KhánhĐinhGia-c3h,logo bách khoa Hà Nội nhưng lại HCMUT :)))))
vui vẻ,_pMLRYGx9Is,@thienan7545,Chị em là thủ khoa trần nguyên hãn rồi chị em vào trường học viện báo trí tuyên truyền
vui vẻ,_pMLRYGx9Is,@AnhNguyen-mn3go,AOF- lốp xe chất lượng nhất cho những ai aim NEU ngành hot😍
vui vẻ,_pMLRYGx9Is,@MinhMinh-fh9lg,"làm vid như c mà cũng up, tiêu đề với video chả liên quan 😂"
vui vẻ,_pMLRYGx9Is,@MinhMinh-fh9lg,"ad xoá vid này đi ad ơi😂 mang tiếng sinh viên ftu mà làm video gây tranh cãi thế, hau ptit hanu thì ông vứt đi đâu trong video thế =)))) làm content nhớ suy nghĩ kỹ vào"
vui vẻ,_pMLRYGx9Is,@trungdonge21,Mình xem hơi trễ nhưng nghĩ nên thêm trường đại học Trần Quốc Tuấn khét nhất đông nam á! Khi phải đi học bằng cả tính mạng
vui vẻ,_pMLRYGx9Is,@PhúcNhânLêQuỳnh,cho hỏi đại học ueh là cái nào v mng^^
vui vẻ,_pMLRYGx9Is,@FcUyy,đừng vào huce
vui vẻ,_pMLRYGx9Is,@ngodangquangngodang83,Đại Học Luật HN 10 điểm không có nhưng...
vui vẻ,_pMLRYGx9Is,@huynguyen-up6wd,Epu đâu a
vui vẻ,_pMLRYGx9Is,@ThangNguyen-dm1jm,lên xem từ miền bắc r sang miền nam r lại qua miền trung r lại nhảy sang miền bắc hóng đầu vd đến cuối vd ko thấy trường mình đâu. đại học văn hóa hà nội HUCCCCCCCCCCCCCC
vui vẻ,_pMLRYGx9Is,@taile758,ủa giao thông đâu ad
vui vẻ,_pMLRYGx9Is,@violetwisteria5935,"Thấy nhắc đến VinUNI nhma ko thấy nhắc đến hàng xóm VNUA trường mình ngay cạnh thì tui cũng review luôn là trường rộng, quả đồng phục nổi vl :))<br>khoảng cách giữa các giảng đường xa, nhưng được cái nhiều cây nên mát :))"
vui vẻ,_pMLRYGx9Is,@DinhdeXiu,Logo bk để hcmut?
vui vẻ,_pMLRYGx9Is,@quangoncao5319,.
vui vẻ,_pMLRYGx9Is,@thuongthuong8491,"<a href=""https://www.youtube.com/watch?v=_pMLRYGx9Is&amp;t=666"">11:06</a>"
vui vẻ,_pMLRYGx9Is,@banhgaoxgai,"lạy ông này, nch bcuoi chết :))"
vui vẻ,_pMLRYGx9Is,@khoannguyenthi2339,Cứ như nhau ấy :)))))
vui vẻ,_pMLRYGx9Is,@ouccong101,Trường Đại học Công nghiệp Hà Nội (Haui) của tui đâu rồiiiiiiiiiii ?????????
vui vẻ,_pMLRYGx9Is,@GekkouH,Tôi yêu ĐH kiến trúc 😞
vui vẻ,_pMLRYGx9Is,@ThuHaDangThi-y8j,👍👍👍
